Code,Rivcode,River,Carea,Mean,Med,Max,SD,Ran,min,Xm,Ym
HatBri04,1,Avon,102,2.6285,1.417,22.53,3.192590367,22.021,0.509,271115,047299
Mot05,2,Bollin,73,1.421361644,1.07,9.88,1.137437833,9.436,0.444,38865,37973
CamR2-99,3,Camel,208.8,7.403471233,4.703,56.72,7.129164979,55.704,1.016,2016,0683
YeoR1-99,4,Yeo,262,4.092931507,2.436,51.53,5.411986424,51.144,0.386,2829,0989
Byhil205,6,Dane,407.1,6.391041096,4.64,51.8,6.241666049,50.48,1.32,37096,36757
ExeR2-99,8,Exe,600.9,20.82646027,10.72,183.7,25.25743374,181.316,2.384,2932,0988
Pallin-98,10,Pallin,206,3.528742466,2.953,15.52,2.684436944,14.646,0.874,3783,0912
LymR2-98,11,Lymm,98.9,1.365731507,0.549,14.78,2.206701876,14.732,0.048,4276,1066
NotBri02,13,Lynher,135.5,3.74489589,2.223,41.74,4.254558816,41.19,0.55,23740,06218
Mee04,14,Mole,327.5,6.336639344,2.828,101.9,9.984598806,101.321,0.579,267831,222892
OttR3-99,15,Otter,104.2,2.193460274,1.333,21.6,2.638112547,21.055,0.545,3094,0942
PlyBri03,17,Plym,79.2,3.064561644,1.313,36.92,4.052316338,36.461,0.459,25185,05836
LlHall1-99,18,Seven,187,8.122446624,4.583585,84.3896,10.19776062,83.5122148,0.8773852,3027,2897
Blan02,19,Tamar,916.7,21.88395342,10.31,171.3,29.42038319,169.351,1.949,24368,07272
Chap04,20,Taw,826.2,11.58682514,4.4305,153.5,19.41798852,152.684,0.816,258321,125915
TgnR3-99,21,Teign,381,11.03626301,6.897,78.31,11.95165196,77.151,1.159,2848,0753
ThruR1-99,22,Thrushel,57.6,1.642624658,0.86,22,2.417512236,21.953,0.047,2415,0866
TorR1-99,23,Torr,663,20.22004932,8.824,244.3,29.8581994,243.495,0.805,2550,1132
Penlan98,24,Twyi,1090.4,47.3220274,32.97,290.1,48.85525787,285.098,5.002,2448,2205
BatHall05,26,Weaver,207,1.51,0.87,8.27,1.66,8.09,0.18,36572,34998
Keith98,27,Worth,71.7,1.285032877,0.753,11.52,1.490598581,11.254,0.266,4071,4417
Glasb98,28,Wye,1282.1,40.35221644,21.79,589.8,57.08742113,586.507,3.293,3184,2403
YeaBri03,29,Yealm,54.9,2.220405109,1.336,17.13,2.190406634,16.851,0.279,25886,05192
