Distance,Depth,15/06/2015 16:35,15/06/2015 16:37,15/06/2015 16:39,15/06/2015 16:41,15/06/2015 16:43,15/06/2015 16:45,15/06/2015 16:47,15/06/2015 16:49,15/06/2015 16:52,15/06/2015 16:54,15/06/2015 16:56,15/06/2015 16:58,15/06/2015 17:00,15/06/2015 17:02,15/06/2015 17:04,15/06/2015 17:06,15/06/2015 17:08,15/06/2015 17:10,15/06/2015 17:12,15/06/2015 17:14,15/06/2015 17:16,15/06/2015 17:18,15/06/2015 17:20,15/06/2015 17:23,15/06/2015 17:25,15/06/2015 17:27,15/06/2015 17:29
42.325,0,15.504,15.817,15.785,15.758,15.671,15.569,15.583,15.482,15.556,15.749,15.727,15.783,15.54,15.793,15.83,15.893,15.696,15.908,15.862,15.904,15.852,15.789,15.643,15.73,15.719,15.639,15.699
42.579,0.004044586,15.38,15.577,15.498,15.582,15.404,15.53,15.425,15.349,15.52,15.528,15.504,15.599,15.412,15.482,15.455,15.598,15.426,15.522,15.616,15.489,15.521,15.577,15.36,15.558,15.623,15.393,15.526
42.833,0.008089172,15.514,15.632,15.485,15.542,15.429,15.469,15.358,15.345,15.484,15.428,15.552,15.592,15.428,15.504,15.51,15.685,15.483,15.407,15.521,15.547,15.537,15.549,15.364,15.611,15.507,15.377,15.57
43.087,0.012133758,15.387,15.505,15.507,15.387,15.451,15.417,15.41,15.419,15.399,15.455,15.416,15.572,15.42,15.563,15.603,15.672,15.48,15.473,15.556,15.535,15.498,15.584,15.311,15.494,15.599,15.449,15.641
43.341,0.016178344,15.365,15.442,15.451,15.329,15.458,15.514,15.441,15.49,15.331,15.398,15.417,15.531,15.39,15.453,15.468,15.518,15.446,15.491,15.48,15.444,15.441,15.499,15.423,15.526,15.615,15.395,15.622
43.595,0.02022293,15.385,15.367,15.435,15.51,15.434,15.436,15.47,15.531,15.419,15.431,15.472,15.466,15.347,15.466,15.463,15.558,15.394,15.574,15.435,15.549,15.469,15.442,15.481,15.42,15.64,15.458,15.522
43.849,0.024267516,15.439,15.405,15.505,15.641,15.43,15.401,15.442,15.462,15.44,15.529,15.515,15.459,15.385,15.449,15.554,15.553,15.445,15.609,15.494,15.657,15.45,15.5,15.497,15.437,15.562,15.556,15.56
44.103,0.028312102,15.423,15.445,15.449,15.606,15.495,15.342,15.452,15.428,15.293,15.463,15.57,15.442,15.434,15.431,15.607,15.527,15.554,15.566,15.626,15.602,15.539,15.501,15.544,15.431,15.521,15.619,15.563
44.357,0.032356688,15.435,15.507,15.452,15.621,15.548,15.249,15.431,15.467,15.258,15.576,15.582,15.467,15.549,15.445,15.591,15.544,15.488,15.584,15.662,15.572,15.605,15.715,15.56,15.395,15.666,15.559,15.587
44.611,0.036401274,15.478,15.531,15.572,15.578,15.5,15.381,15.427,15.541,15.435,15.575,15.601,15.56,15.646,15.577,15.557,15.526,15.427,15.557,15.69,15.658,15.494,15.68,15.603,15.411,15.626,15.546,15.589
