TREAT,PATCH,ALGAE
con,P1,0
con,P1,0
con,P1,0
con,P1,6
con,P1,2
con,P2,0
con,P2,0
con,P2,0
con,P2,0
con,P2,0
con,P3,0
con,P3,0
con,P3,0
con,P3,4
con,P3,1
con,P4,0
con,P4,0
con,P4,0
con,P4,13
con,P4,0
t0.66,P1,23
t0.66,P1,17
t0.66,P1,0
t0.66,P1,56
t0.66,P1,46
t0.66,P2,0
t0.66,P2,79
t0.66,P2,32
t0.66,P2,51
t0.66,P2,22
t0.66,P3,5
t0.66,P3,0
t0.66,P3,0
t0.66,P3,0
t0.66,P3,0
t0.66,P4,0
t0.66,P4,56
t0.66,P4,3
t0.66,P4,0
t0.66,P4,41
t0.33,P1,0
t0.33,P1,5
t0.33,P1,8
t0.33,P1,0
t0.33,P1,0
t0.33,P2,0
t0.33,P2,0
t0.33,P2,0
t0.33,P2,0
t0.33,P2,0
t0.33,P3,43
t0.33,P3,8
t0.33,P3,69
t0.33,P3,29
t0.33,P3,39
t0.33,P4,40
t0.33,P4,63
t0.33,P4,0
t0.33,P4,71
t0.33,P4,5
rem,P1,46
rem,P1,44
rem,P1,41
rem,P1,29
rem,P1,11
rem,P2,65
rem,P2,55
rem,P2,61
rem,P2,74
rem,P2,55
rem,P3,0
rem,P3,5
rem,P3,0
rem,P3,0
rem,P3,6
rem,P4,30
rem,P4,82
rem,P4,70
rem,P4,27
rem,P4,83
